Time,UK PV 10:00 DAH Forecast(MW),UK Wind 10:00 DAH Forecast(MW),UK Demand 10:00 DAH Forecast(MW),UK - PowerDemand - Observation - Total - Hourly - MW - RealData (MW),UK Wind 15:00 DAH Forecast(MW),UK PV 15:00 DAH Forecast(MW),UK Demand 15:00 DAH Forecast(MW),UK - PowerDemand - Normal - Total - Hourly - MW - Normal (MW),Elexon Estimated Imbalance Price  (3) (£/MWh),EPEX UK DayAhead Hourly Price (1) (£/MWh)
1/1/2020 0:00,0,4478,27259,,4670,0,27240,23599,12,39.9
1/1/2020 0:30,0,,,,,0,,,34.1,
1/1/2020 1:00,0,4326,27045,,4440,0,27043,24817,50.9,43.5
1/1/2020 1:30,0,,,,,0,,,51,
1/1/2020 2:00,0,4157,26526,,4312,0,26523,24457,29.4,41.1
1/1/2020 2:30,0,,,,,0,,,28.5,
1/1/2020 3:00,0,3932,24570,,4033,0,24561,22890,25.8,30
1/1/2020 3:30,0,,,,,0,,,24.8,
1/1/2020 4:00,0,3608,22876,,3649,0,22861,21462,50.5,27.1
1/1/2020 4:30,0,,,,,0,,,50,
1/1/2020 5:00,0,3397,21787,,3348,0,21785,20537,23.9,26.4
1/1/2020 5:30,0,,,,,0,,,23.9,
1/1/2020 6:00,0,3334,21560,,3259,0,21561,20477,6,26.3
1/1/2020 6:30,0,,,,,0,,,6,
1/1/2020 7:00,0,3413,22414,,3396,0,22401,21470,23.8,26.2
1/1/2020 7:30,0,,,,,0,,,31.7,
1/1/2020 8:00,0,3506,23135,,3537,0,23113,22354,24,26.9
1/1/2020 8:30,0,,,,,0,,,52,
1/1/2020 9:00,26,3496,23965,,3442,17,23915,23483,52,28
1/1/2020 9:30,115,,,,,82,,,52,
1/1/2020 10:00,334,3599,26073,,3346,266,26045,25714,52,32.6
1/1/2020 10:30,675,,,,,564,,,51,
1/1/2020 11:00,980,3861,27916,,3507,834,27934,27764,51.9,38
1/1/2020 11:30,1234,,,,,1062,,,51,
1/1/2020 12:00,1404,4079,29501,,3768,1230,29547,29328,25.6,44.5
1/1/2020 12:30,1486,,,,,1334,,,7.5,
1/1/2020 13:00,1496,4279,30656,,4019,1363,30700,30377,51.9,40
1/1/2020 13:30,1436,,,,,1330,,,51.9,
1/1/2020 14:00,1291,4469,30995,,4262,1203,31017,30685,51,40
1/1/2020 14:30,1066,,,,,990,,,51,
1/1/2020 15:00,788,4721,31446,,4544,728,31449,30899,50.8,39.7
1/1/2020 15:30,470,,,,,430,,,7.5,
1/1/2020 16:00,230,5044,32237,,4824,208,32225,31835,7.5,37
1/1/2020 16:30,77,,,,,69,,,50.8,
1/1/2020 17:00,1,5401,35232,,5083,1,35192,34695,52,50.2
1/1/2020 17:30,0,,,,,0,,,50.8,
1/1/2020 18:00,0,5845,36169,,5474,0,36126,35921,52,53.3
1/1/2020 18:30,0,,,,,0,,,52,
1/1/2020 19:00,0,6255,34898,,5950,0,34865,34740,51.9,43
1/1/2020 19:30,0,,,,,0,,,51.5,
1/1/2020 20:00,0,6609,33266,,6369,0,33243,33013,50,41.1
1/1/2020 20:30,0,,,,,0,,,8,
1/1/2020 21:00,0,6985,31435,,6782,0,31424,31075,7.5,36
1/1/2020 21:30,0,,,,,0,,,51.5,
1/1/2020 22:00,0,7424,29155,,7243,0,29150,28857,49.5,35.9
1/1/2020 22:30,0,,,,,0,,,51.5,
1/1/2020 23:00,0,7827,26511,,7689,0,26507,26239,51.5,32
1/1/2020 23:30,0,,,,,0,,,49.5,
1/2/2020 0:00,0,8146,24045,,7993,0,24041,23730,50.1,30.7
1/2/2020 0:30,0,,,,,0,,,50,
1/2/2020 1:00,0,8063,23207,,8344,0,23214,24227,2.5,27.7
1/2/2020 1:30,0,,,,,0,,,2.5,
1/2/2020 2:00,0,8336,22727,,8568,0,22731,23750,49,26.5
1/2/2020 2:30,0,,,,,0,,,2.5,
1/2/2020 3:00,0,8669,22029,,8868,0,22047,23144,2.5,23.8
1/2/2020 3:30,0,,,,,0,,,8,
1/2/2020 4:00,0,8937,21317,,9179,0,21343,22495,25.9,23.5
1/2/2020 4:30,0,,,,,0,,,25.9,
1/2/2020 5:00,0,9245,20922,,9431,0,20953,22354,49,23.6
1/2/2020 5:30,0,,,,,0,,,27.7,
1/2/2020 6:00,0,9669,21876,,9745,0,21912,23497,31.9,28.1
1/2/2020 6:30,0,,,,,0,,,2.5,
1/2/2020 7:00,0,10100,26195,,10163,0,26236,27935,7.5,34.8
1/2/2020 7:30,0,,,,,0,,,0.5,
1/2/2020 8:00,0,10439,31580,,10527,0,31623,32590,42.1,36.9
1/2/2020 8:30,0,,,,,0,,,7.5,
1/2/2020 9:00,27,10842,34520,,10921,25,34655,35035,6,37.4
1/2/2020 9:30,116,,,,,107,,,7.55,
1/2/2020 10:00,309,11290,35527,,11336,292,35660,35941,6,37.7
1/2/2020 10:30,600,,,,,573,,,6,
1/2/2020 11:00,858,11605,35632,,11572,813,35751,36303,6,39.1
1/2/2020 11:30,1070,,,,,999,,,7.8,
1/2/2020 12:00,1196,11905,36151,,11813,1119,36262,37129,7.8,39.2
1/2/2020 12:30,1235,,,,,1173,,,7.8,
1/2/2020 13:00,1216,12244,36633,,12175,1184,36737,37583,50,39
1/2/2020 13:30,1141,,,,,1156,,,50,
1/2/2020 14:00,1015,12517,36584,,12520,1044,36660,37771,52,38.2
1/2/2020 14:30,839,,,,,852,,,50.5,
1/2/2020 15:00,612,12659,36757,,12690,616,36811,37890,50,38.1
1/2/2020 15:30,346,,,,,350,,,8.8,
1/2/2020 16:00,157,12590,37362,,12657,160,37381,38621,50.5,38.5
1/2/2020 16:30,53,,,,,54,,,50,
1/2/2020 17:00,2,12480,39950,,12553,2,39921,41031,8.8,40.2
1/2/2020 17:30,0,,,,,0,,,8.8,
1/2/2020 18:00,0,12476,40464,,12484,0,40431,42665,8.9,45.9
1/2/2020 18:30,0,,,,,0,,,8.9,
1/2/2020 19:00,0,12347,39857,,12462,0,39824,42143,9.2,40
1/2/2020 19:30,0,,,,,0,,,8.9,
1/2/2020 20:00,0,12149,38097,,12395,0,38063,40575,8.9,37.9
1/2/2020 20:30,0,,,,,0,,,9,
1/2/2020 21:00,0,12123,35571,,12201,0,35540,38224,9,32
1/2/2020 21:30,0,,,,,0,,,8.9,
1/2/2020 22:00,0,12043,32273,,12137,0,32256,34577,9,28.7
1/2/2020 22:30,0,,,,,0,,,21,
1/2/2020 23:00,0,11931,28235,,12113,0,28232,30719,6,27.6
1/2/2020 23:30,0,,,,,0,,,2.5,
1/3/2020 0:00,0,11894,24738,,12019,0,24742,26909,15.8,26.6
1/3/2020 0:30,0,,,,,0,,,2.5,
1/3/2020 1:00,0,11643,24093,,11822,0,24085,26781,2.5,25.5
1/3/2020 1:30,0,,,,,0,,,17.2,
1/3/2020 2:00,0,11379,23702,,11541,0,23692,26273,51,24.1
