Time,UK PV 10:00 DAH Forecast(MW),UK Wind 10:00 DAH Forecast(MW),UK Demand 10:00 DAH Forecast(MW),UK - PowerDemand - Observation - Total - Hourly - MW - RealData (MW),UK Wind 15:00 DAH Forecast(MW),UK PV 15:00 DAH Forecast(MW),UK Demand 15:00 DAH Forecast(MW),UK - PowerDemand - Normal - Total - Hourly - MW - Normal (MW),Elexon Estimated Imbalance Price  (3) (£/MWh),EPEX UK DayAhead Hourly Price (1) (£/MWh)
1/3/2020 2:30,0,,,,,0,,,51,
1/3/2020 3:00,0,11064,22826,,11192,0,22815,25277,50,21.7
1/3/2020 3:30,0,,,,,0,,,50,
1/3/2020 4:00,0,10661,22208,,10756,0,22196,24570,2.5,19.6
1/3/2020 4:30,0,,,,,0,,,2.5,
1/3/2020 5:00,0,10351,22016,,10324,0,22004,24471,7.13,22.7
1/3/2020 5:30,0,,,,,0,,,8,
1/3/2020 6:00,0,10010,22799,,9918,0,22788,25436,21,27.1
1/3/2020 6:30,0,,,,,0,,,50,
1/3/2020 7:00,0,9499,26955,,9518,0,26943,30317,24.7,36.5
1/3/2020 7:30,0,,,,,0,,,2.5,
1/3/2020 8:00,0,9336,32441,,9509,0,32425,35514,-3,35.4
1/3/2020 8:30,0,,,,,0,,,0.2,
1/3/2020 9:00,43,9626,34989,,9739,39,34937,37582,6,40
1/3/2020 9:30,187,,,,,174,,,6,
1/3/2020 10:00,512,9841,35842,,9714,503,35779,38357,49.2,43
1/3/2020 10:30,1013,,,,,1021,,,9,
1/3/2020 11:00,1517,9962,35755,,9679,1542,35679,38435,53.5,43
1/3/2020 11:30,2006,,,,,2043,,,49.2,
1/3/2020 12:00,2414,10258,35891,,9922,2454,35820,38818,49.2,39.3
1/3/2020 12:30,2726,,,,,2759,,,9,
1/3/2020 13:00,2826,10445,35753,,10098,2855,35694,38859,9,34.7
1/3/2020 13:30,2785,,,,,2804,,,9,
1/3/2020 14:00,2565,10486,35387,,10149,2563,35347,38638,9,34.1
1/3/2020 14:30,2201,,,,,2164,,,9,
1/3/2020 15:00,1727,10545,35458,,10248,1678,35437,38736,9,33.6
1/3/2020 15:30,1160,,,,,1125,,,9,
1/3/2020 16:00,653,10480,36409,,10157,633,36404,39339,9,34
1/3/2020 16:30,229,,,,,222,,,9,
1/3/2020 17:00,11,10498,39826,,10117,10,39829,41432,9,41.5
1/3/2020 17:30,0,,,,,0,,,52.5,
1/3/2020 18:00,0,10682,40494,,10314,0,40498,42945,55.5,47.1
1/3/2020 18:30,0,,,,,0,,,55.5,
1/3/2020 19:00,0,10876,39883,,10572,0,39885,42406,52,40
1/3/2020 19:30,0,,,,,0,,,10,
1/3/2020 20:00,0,11115,38185,,10854,0,38188,41044,9.6,38.9
1/3/2020 20:30,0,,,,,0,,,9.8,
1/3/2020 21:00,0,11302,35729,,11040,0,35728,38378,9.6,35.4
1/3/2020 21:30,0,,,,,0,,,9.6,
1/3/2020 22:00,0,11407,32293,,11187,0,32284,34811,49.5,34
1/3/2020 22:30,0,,,,,0,,,9.6,
1/3/2020 23:00,0,11415,28540,,11252,0,28527,30959,40,32.9
1/3/2020 23:30,0,,,,,0,,,5.1,
1/4/2020 0:00,0,11381,25477,,11140,0,25463,27637,5,29
1/4/2020 0:30,0,,,,,0,,,2.5,
1/4/2020 1:00,0,11231,24505,,11180,0,24504,27180,2.5,26.7
1/4/2020 1:30,0,,,,,0,,,49.5,
1/4/2020 2:00,0,11203,23618,,11105,0,23618,26550,2.5,25.1
1/4/2020 2:30,0,,,,,0,,,0,
1/4/2020 3:00,0,11082,22471,,11014,0,22471,25403,2.5,23.8
1/4/2020 3:30,0,,,,,0,,,2.5,
1/4/2020 4:00,0,10924,21579,,10841,0,21580,24261,2.5,21.9
1/4/2020 4:30,0,,,,,0,,,2.5,
1/4/2020 5:00,0,10695,21158,,10595,0,21159,24015,5,21.6
1/4/2020 5:30,0,,,,,0,,,2.5,
1/4/2020 6:00,0,10443,21442,,10370,0,21444,24189,0,22
1/4/2020 6:30,0,,,,,0,,,2.5,
1/4/2020 7:00,0,10188,23263,,10136,0,23263,26433,0,24
1/4/2020 7:30,0,,,,,0,,,2.5,
1/4/2020 8:00,0,9965,26546,,9918,0,26541,30096,0,26.5
1/4/2020 8:30,0,,,,,0,,,5,
1/4/2020 9:00,60,9732,29465,,9715,64,29467,32690,6,32
1/4/2020 9:30,248,,,,,261,,,9.6,
1/4/2020 10:00,603,9529,31946,,9610,619,31958,34652,6,34.6
1/4/2020 10:30,1113,,,,,1122,,,7,
1/4/2020 11:00,1547,9386,32619,,9529,1555,32626,35256,7.75,35.2
1/4/2020 11:30,1888,,,,,1900,,,49.5,
1/4/2020 12:00,2152,9306,33111,,9442,2154,33113,35508,6,36.6
1/4/2020 12:30,2335,,,,,2312,,,6,
1/4/2020 13:00,2388,9249,33201,,9357,2356,33201,35684,6,36.6
1/4/2020 13:30,2332,,,,,2312,,,7.75,
1/4/2020 14:00,2123,8994,33020,,9176,2110,33020,35504,7.75,38.4
1/4/2020 14:30,1775,,,,,1764,,,7.5,
1/4/2020 15:00,1344,8491,33251,,8746,1329,33252,35604,6.75,37.6
1/4/2020 15:30,850,,,,,823,,,49.9,
1/4/2020 16:00,449,7938,34294,,8122,425,34294,36315,49.9,32.4
1/4/2020 16:30,159,,,,,150,,,52,
1/4/2020 17:00,10,7516,37609,,7666,10,37608,38918,80,46.4
1/4/2020 17:30,0,,,,,0,,,150,
1/4/2020 18:00,0,7210,38524,,7486,0,38524,40640,150,59
1/4/2020 18:30,0,,,,,0,,,150,
1/4/2020 19:00,0,7084,37911,,7390,0,37909,40084,55.5,50.6
1/4/2020 19:30,0,,,,,0,,,55.5,
1/4/2020 20:00,0,7170,36295,,7376,0,36292,38705,55.5,40.6
1/4/2020 20:30,0,,,,,0,,,49.9,
1/4/2020 21:00,0,7310,33850,,7424,0,33846,36258,49.9,35.9
1/4/2020 21:30,0,,,,,0,,,49.9,
1/4/2020 22:00,0,7433,31151,,7475,0,31149,32965,9.65,34.9
1/4/2020 22:30,0,,,,,0,,,8,
1/4/2020 23:00,0,7607,28276,,7580,0,28277,29824,8,33.4
1/4/2020 23:30,0,,,,,0,,,9,
1/5/2020 0:00,0,7801,25476,,7759,0,25478,26863,24.2,39
1/5/2020 0:30,0,,,,,0,,,23.5,
1/5/2020 1:00,0,7209,25085,,7219,0,25086,26585,21.9,28.5
1/5/2020 1:30,0,,,,,0,,,22.7,
1/5/2020 2:00,0,7336,24191,,7324,0,24192,25908,24.7,27.4
1/5/2020 2:30,0,,,,,0,,,22,
1/5/2020 3:00,0,7330,22912,,7528,0,22912,24623,49,26.4
1/5/2020 3:30,0,,,,,0,,,49,
1/5/2020 4:00,0,7378,21943,,7688,0,21944,23392,49,26.2
1/5/2020 4:30,0,,,,,0,,,2.5,
1/5/2020 5:00,0,7546,21386,,7879,0,21386,23146,2.5,25
1/5/2020 5:30,0,,,,,0,,,5,
1/5/2020 6:00,0,7944,21093,,8247,0,21093,22946,5,25.4
1/5/2020 6:30,0,,,,,0,,,19.8,
1/5/2020 7:00,0,8503,22103,,8745,0,22104,24307,48.5,26
1/5/2020 7:30,0,,,,,0,,,49,
1/5/2020 8:00,0,8968,24234,,9170,0,24233,26706,2.5,28.1
1/5/2020 8:30,0,,,,,0,,,0,
1/5/2020 9:00,54,9319,26964,,9415,47,26960,29310,2.5,30
1/5/2020 9:30,223,,,,,200,,,2.5,
1/5/2020 10:00,544,9608,29805,,9604,522,29800,31362,2.5,33
1/5/2020 10:30,1006,,,,,1004,,,48.9,
1/5/2020 11:00,1424,9818,31344,,9709,1439,31342,33007,29.4,39
1/5/2020 11:30,1777,,,,,1807,,,48.9,
1/5/2020 12:00,1996,9852,32376,,9669,2053,32373,34163,48.9,33.6
1/5/2020 12:30,2081,,,,,2175,,,5.1,
1/5/2020 13:00,2091,9715,32493,,9499,2197,32489,34468,8,34
1/5/2020 13:30,2030,,,,,2120,,,48.9,
1/5/2020 14:00,1865,9469,32429,,9264,1926,32427,34571,48.9,38
1/5/2020 14:30,1596,,,,,1620,,,49,
1/5/2020 15:00,1240,9260,32827,,9051,1237,32826,34781,49,39
1/5/2020 15:30,810,,,,,793,,,49,
1/5/2020 16:00,445,9177,33988,,8938,427,33989,35716,48.9,35.8
1/5/2020 16:30,162,,,,,155,,,50.5,
1/5/2020 17:00,15,9239,37757,,9064,14,37758,38533,51,48
1/5/2020 17:30,0,,,,,0,,,50.5,
1/5/2020 18:00,0,9503,38654,,9325,0,38657,40381,52.7,58.1
1/5/2020 18:30,0,,,,,0,,,51,
1/5/2020 19:00,0,9770,37914,,9604,0,37917,39865,51,45.7
1/5/2020 19:30,0,,,,,0,,,49,
1/5/2020 20:00,0,9913,36096,,9851,0,36099,38485,9.6,40.5
1/5/2020 20:30,0,,,,,0,,,8,
1/5/2020 21:00,0,9996,33617,,9983,0,33618,36050,8,33.4
1/5/2020 21:30,0,,,,,0,,,8,
1/5/2020 22:00,0,10017,30923,,9994,0,30924,32827,9.6,35
1/5/2020 22:30,0,,,,,0,,,5.1,
1/5/2020 23:00,0,9963,27771,,9931,0,27772,29485,5,31.1
1/5/2020 23:30,0,,,,,0,,,2.5,
1/6/2020 0:00,0,9893,24615,,9878,0,24616,26212,48.9,24.4
1/6/2020 0:30,0,,,,,0,,,0,
1/6/2020 1:00,0,9814,24086,,10056,0,24090,24919,4.5,24.2
1/6/2020 1:30,0,,,,,0,,,19.4,
1/6/2020 2:00,0,9854,23454,,10081,0,23457,24530,44.6,24.3
1/6/2020 2:30,0,,,,,0,,,31.4,
1/6/2020 3:00,0,10069,22526,,10265,0,22529,23859,24.8,23.2
1/6/2020 3:30,0,,,,,0,,,22.2,
1/6/2020 4:00,0,10367,21781,,10516,0,21783,23260,21.4,22.5
1/6/2020 4:30,0,,,,,0,,,14.6,
1/6/2020 5:00,0,10690,21363,,10743,0,21365,23248,17.6,24
1/6/2020 5:30,0,,,,,0,,,17.1,
1/6/2020 6:00,0,11008,22664,,10975,0,22666,24498,0,27.5
1/6/2020 6:30,0,,,,,0,,,0,
1/6/2020 7:00,0,11398,27881,,11341,0,27882,30132,2.5,36
1/6/2020 7:30,0,,,,,0,,,48.5,
1/6/2020 8:00,0,11739,33732,,11686,0,33733,36427,5,37.2
1/6/2020 8:30,0,,,,,0,,,5.1,
1/6/2020 9:00,38,11923,36245,,11913,30,36242,38651,50,39.4
1/6/2020 9:30,160,,,,,127,,,10,
1/6/2020 10:00,405,12020,36945,,12139,335,36942,39200,50,38.5
1/6/2020 10:30,763,,,,,646,,,52.3,
1/6/2020 11:00,1061,12092,36629,,12288,915,36628,38981,49,37.2
1/6/2020 11:30,1282,,,,,1127,,,49,
1/6/2020 12:00,1383,12133,36792,,12344,1260,36793,39059,32.9,36.2
1/6/2020 12:30,1383,,,,,1312,,,48.9,
1/6/2020 13:00,1342,12103,36990,,12321,1300,36998,39017,11,35.5
1/6/2020 13:30,1219,,,,,1224,,,48.9,
1/6/2020 14:00,1053,11968,37135,,12159,1070,37139,39045,48.9,36.2
1/6/2020 14:30,848,,,,,843,,,48.9,
1/6/2020 15:00,618,11879,37478,,11915,610,37479,39166,53,38
1/6/2020 15:30,370,,,,,379,,,53,
1/6/2020 16:00,184,11852,38345,,11827,198,38344,39853,53,38.2
1/6/2020 16:30,67,,,,,70,,,57.5,
1/6/2020 17:00,7,11747,41203,,11839,5,41198,42395,53,42.9
1/6/2020 17:30,0,,,,,0,,,56.5,
1/6/2020 18:00,0,11541,42074,,11755,0,42071,44005,56.5,51.3
1/6/2020 18:30,0,,,,,0,,,56.5,
1/6/2020 19:00,0,11347,41558,,11580,0,41554,43527,56.5,46.1
1/6/2020 19:30,0,,,,,0,,,56.5,
1/6/2020 20:00,0,11146,39958,,11293,0,39953,42147,52.5,43.3
1/6/2020 20:30,0,,,,,0,,,45,
1/6/2020 21:00,0,10761,37266,,10911,0,37261,39453,11.4,35.4
1/6/2020 21:30,0,,,,,0,,,49.8,
1/6/2020 22:00,0,10193,33910,,10362,0,33906,35496,51,35.6
1/6/2020 22:30,0,,,,,0,,,51,
1/6/2020 23:00,0,9544,29789,,9667,0,29785,31157,50,30
1/6/2020 23:30,0,,,,,0,,,18.1,
1/7/2020 0:00,0,8926,26137,,8987,0,26133,27204,4.5,28
1/7/2020 0:30,0,,,,,0,,,2.5,
1/7/2020 1:00,0,8453,25431,,8782,0,25326,26156,5.1,27.2
1/7/2020 1:30,0,,,,,0,,,23.7,
1/7/2020 2:00,0,8090,24993,,8456,0,24886,25709,24.1,26.1
1/7/2020 2:30,0,,,,,0,,,22.8,
1/7/2020 3:00,0,8283,24257,,8670,0,24213,24969,22,25.4
1/7/2020 3:30,0,,,,,0,,,5.1,
1/7/2020 4:00,0,8702,23651,,9136,0,23678,24316,2.5,25.9
1/7/2020 4:30,0,,,,,0,,,0,
1/7/2020 5:00,0,9030,23295,,9451,0,23380,24297,5.1,27
1/7/2020 5:30,0,,,,,0,,,0,
1/7/2020 6:00,0,9335,24403,,9624,0,24483,25405,0,34
1/7/2020 6:30,0,,,,,0,,,0,
1/7/2020 7:00,0,9757,29248,,9966,0,29337,30895,2.5,42.7
1/7/2020 7:30,0,,,,,0,,,2.5,
1/7/2020 8:00,0,10297,34735,,10395,0,34904,37051,52.5,42.5
1/7/2020 8:30,0,,,,,0,,,54,
1/7/2020 9:00,34,10837,36949,,10803,39,37145,39201,54,44.6
1/7/2020 9:30,145,,,,,165,,,51.8,
1/7/2020 10:00,366,11327,37264,,11285,418,37608,39728,51.8,43.4
1/7/2020 10:30,690,,,,,789,,,51.8,
1/7/2020 11:00,963,11698,36753,,11701,1088,37040,39458,56,41.3
1/7/2020 11:30,1170,,,,,1299,,,56,
1/7/2020 12:00,1242,11994,36904,,12002,1371,37034,39518,51.5,40.3
1/7/2020 12:30,1242,,,,,1371,,,50,
1/7/2020 13:00,1217,12276,36845,,12224,1326,37151,39464,43.3,39.9
1/7/2020 13:30,1151,,,,,1229,,,43.1,
1/7/2020 14:00,1020,12455,36715,,12369,1064,37106,39392,42.2,39.3
1/7/2020 14:30,828,,,,,835,,,41.4,
1/7/2020 15:00,601,12548,36819,,12550,587,37143,39505,11.9,37.8
1/7/2020 15:30,351,,,,,330,,,11.9,
1/7/2020 16:00,164,12640,37642,,12706,146,38087,40227,11.9,40
1/7/2020 16:30,46,,,,,40,,,40,
1/7/2020 17:00,0,12708,40483,,12748,0,40908,42756,49.5,42.1
1/7/2020 17:30,0,,,,,0,,,51.8,
1/7/2020 18:00,0,12775,41199,,12806,0,41480,44366,49.5,42.2
1/7/2020 18:30,0,,,,,0,,,49,
1/7/2020 19:00,0,12812,40537,,12868,0,40828,43888,12.2,42.8
1/7/2020 19:30,0,,,,,0,,,49,
1/7/2020 20:00,0,12805,38748,,12913,0,39067,42507,49.5,41.8
1/7/2020 20:30,0,,,,,0,,,49.5,
1/7/2020 21:00,0,12820,35825,,12937,0,36308,39818,49,36.5
1/7/2020 21:30,0,,,,,0,,,12.3,
1/7/2020 22:00,0,12819,32354,,12836,0,32811,35906,20.1,33
1/7/2020 22:30,0,,,,,0,,,10.9,
1/7/2020 23:00,0,12724,28197,,12621,0,28761,31622,2.5,28.7
1/7/2020 23:30,0,,,,,0,,,2.5,
1/8/2020 0:00,0,12515,24573,,12354,0,24852,27715,28.2,23.9
1/8/2020 0:30,0,,,,,0,,,4.5,
1/8/2020 1:00,0,12343,23520,,12468,0,23517,26570,2.5,22.6
1/8/2020 1:30,0,,,,,0,,,2.5,
1/8/2020 2:00,0,12078,23105,,12163,0,23104,26109,2.5,20.4
1/8/2020 2:30,0,,,,,0,,,2.5,
1/8/2020 3:00,0,11726,22471,,11778,0,22468,25357,14.6,17.3
1/8/2020 3:30,0,,,,,0,,,14.3,
1/8/2020 4:00,0,11318,22044,,11297,0,22040,24702,2.5,16.9
1/8/2020 4:30,0,,,,,0,,,2.5,
1/8/2020 5:00,0,10892,21962,,10892,0,21957,24683,28.3,20.9
1/8/2020 5:30,0,,,,,0,,,29,
1/8/2020 6:00,0,10421,23457,,10417,0,23453,25749,21.7,27.4
1/8/2020 6:30,0,,,,,0,,,31.7,
1/8/2020 7:00,0,9915,28742,,9905,0,28739,31151,49,35.1
1/8/2020 7:30,0,,,,,0,,,7,
1/8/2020 8:00,0,9311,34608,,9549,0,34605,37220,50,36.9
1/8/2020 8:30,0,,,,,0,,,50,
1/8/2020 9:00,31,8766,37285,,9076,38,37266,39360,54.5,36.4
1/8/2020 9:30,133,,,,,158,,,50,
1/8/2020 10:00,344,8465,37938,,8609,390,37918,39888,50,38
1/8/2020 10:30,655,,,,,722,,,51.5,
1/8/2020 11:00,923,7995,37634,,8077,985,37616,39601,50,38
1/8/2020 11:30,1133,,,,,1164,,,14,
1/8/2020 12:00,1225,7359,37786,,7376,1273,37764,39671,4.5,38.7
1/8/2020 12:30,1225,,,,,1306,,,4.5,
1/8/2020 13:00,1183,6775,37997,,6712,1275,37981,39617,52,39.1
1/8/2020 13:30,1060,,,,,1168,,,52,
1/8/2020 14:00,919,6092,38153,,6019,1006,38146,39540,52,40
1/8/2020 14:30,762,,,,,794,,,14,
1/8/2020 15:00,565,5282,38345,,5267,564,38342,39646,4.5,40.3
1/8/2020 15:30,333,,,,,326,,,52,
1/8/2020 16:00,158,4527,39299,,4549,152,39296,40368,51,41.6
1/8/2020 16:30,48,,,,,46,,,60.8,
1/8/2020 17:00,0,4002,42273,,3943,0,42266,42890,22.5,51.6
1/8/2020 17:30,0,,,,,0,,,60.8,
1/8/2020 18:00,0,3586,42911,,3479,0,42906,44500,4.5,58
1/8/2020 18:30,0,,,,,0,,,18,
1/8/2020 19:00,0,3192,42505,,3116,0,42498,44013,19.2,49.6
1/8/2020 19:30,0,,,,,0,,,56,
1/8/2020 20:00,0,2906,40998,,2797,0,40991,42633,56,44.2
1/8/2020 20:30,0,,,,,0,,,52,
1/8/2020 21:00,0,2783,38484,,2635,0,38479,39944,51.5,39.3
1/8/2020 21:30,0,,,,,0,,,19.2,
1/8/2020 22:00,0,2830,35069,,2927,0,35063,36078,21.3,36.3
1/8/2020 22:30,0,,,,,0,,,50,
1/8/2020 23:00,0,3216,31151,,3638,0,31145,31804,18,34.5
1/8/2020 23:30,0,,,,,0,,,18,
1/9/2020 0:00,0,3971,27446,,4516,0,27440,27962,25.4,37.8
1/9/2020 0:30,0,,,,,0,,,46,
1/9/2020 1:00,0,4377,26106,,4538,0,26106,27478,26,34.3
1/9/2020 1:30,0,,,,,0,,,23.6,
1/9/2020 2:00,0,6031,25477,,6072,0,25476,26999,9.14,28.5
1/9/2020 2:30,0,,,,,0,,,2.5,
1/9/2020 3:00,0,7383,24585,,7348,0,24584,26247,2.5,26.4
1/9/2020 3:30,0,,,,,0,,,2.5,
1/9/2020 4:00,0,8061,23798,,7966,0,23797,25597,6,23.9
1/9/2020 4:30,0,,,,,0,,,6,
1/9/2020 5:00,0,8314,23482,,8207,0,23482,25578,16.9,23.9
1/9/2020 5:30,0,,,,,0,,,16.9,
1/9/2020 6:00,0,8381,24572,,8312,0,24572,26640,48,29
1/9/2020 6:30,0,,,,,0,,,49.5,
1/9/2020 7:00,0,8414,29509,,8191,0,29509,31811,49,38.3
1/9/2020 7:30,0,,,,,0,,,14.6,
1/9/2020 8:00,0,8390,35241,,8058,0,35242,37838,6,39.4
1/9/2020 8:30,0,,,,,0,,,16.5,
1/9/2020 9:00,39,8113,37655,,7884,41,37646,39947,16.5,39.7
1/9/2020 9:30,171,,,,,178,,,16.5,
1/9/2020 10:00,469,7587,38115,,7528,472,38112,40465,16.5,38
1/9/2020 10:30,924,,,,,915,,,15.3,
1/9/2020 11:00,1349,7137,37833,,7059,1336,37844,40178,15.3,35
1/9/2020 11:30,1721,,,,,1710,,,18,
1/9/2020 12:00,1978,6730,38025,,6343,1914,38039,40231,18.1,32.7
1/9/2020 12:30,2113,,,,,1928,,,18.3,
1/9/2020 13:00,2124,6221,38189,,5687,1893,38201,40177,18.6,35
1/9/2020 13:30,2013,,,,,1770,,,50,
1/9/2020 14:00,1803,5741,38301,,5176,1581,38309,40103,18.5,36.6
1/9/2020 14:30,1500,,,,,1330,,,50,
1/9/2020 15:00,1143,5210,38691,,4637,1039,38698,40209,69,38.9
1/9/2020 15:30,745,,,,,714,,,69,
1/9/2020 16:00,402,4560,39741,,3934,407,39745,40919,69,37
1/9/2020 16:30,130,,,,,129,,,70,
1/9/2020 17:00,0,3874,43106,,3315,0,43105,43352,19,50.1
1/9/2020 17:30,0,,,,,0,,,19.1,
1/9/2020 18:00,0,3401,43665,,3198,0,43666,44962,18.1,59.5
1/9/2020 18:30,0,,,,,0,,,19,
1/9/2020 19:00,0,3154,43124,,3337,0,43123,44458,19,48
1/9/2020 19:30,0,,,,,0,,,68.5,
1/9/2020 20:00,0,3275,41517,,3847,0,41513,43077,65,43
